frame,timestamp,anchor_to_top_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
313,10.434013472403302,78.06359951349323,Open,Open,Closed,Closed,Closed
314,10.46734897870491,77.33549763860707,Open,Open,Closed,Closed,Closed
315,10.500684485006518,76.26559576440276,Open,Open,Closed,Closed,Closed
316,10.534019991308126,75.56293365132831,Open,Open,Closed,Closed,Closed
317,10.567355497609734,73.6867776211211,Open,Open,Closed,Closed,Closed
318,10.600691003911342,77.03362614163757,Open,Open,Closed,Closed,Closed
319,10.63402651021295,75.39052453942472,Open,Open,Closed,Closed,Closed
320,10.66736201651456,76.69232543286594,Open,Open,Closed,Closed,Closed
321,10.700697522816167,75.03397667219146,Open,Open,Closed,Closed,Closed
322,10.734033029117777,74.34015546351648,Open,Open,Closed,Closed,Closed
323,10.767368535419385,71.8706857993242,Open,Closed,Closed,Closed,Closed
324,10.80070404172099,73.98264089996445,Open,Open,Closed,Closed,Closed
325,10.8340395480226,78.2658892532696,Open,Open,Closed,Closed,Closed
326,10.867375054324206,73.0000013131355,Open,Closed,Closed,Closed,Closed
327,10.900710560625814,75.30270051481116,Open,Open,Closed,Closed,Closed
328,10.934046066927422,71.37747848840185,Open,Closed,Closed,Closed,Closed
329,10.96738157322903,67.66968178491626,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,66.57234389558931,Open,Closed,Closed,Closed,Closed
331,11.034052585832246,69.66887258652258,Open,Closed,Closed,Closed,Closed
332,11.067388092133854,72.30959366793194,Open,Closed,Closed,Closed,Closed
333,11.100723598435462,75.66291544201263,Open,Open,Closed,Closed,Closed
334,11.134059104737071,75.19031836670857,Open,Open,Closed,Closed,Closed
335,11.16739461103868,76.58639531550398,Open,Open,Closed,Closed,Closed
336,11.200730117340289,77.06135421394647,Open,Open,Closed,Closed,Closed
337,11.234065623641897,75.59623333965845,Open,Open,Closed,Closed,Closed
338,11.267401129943504,77.12390946219446,Open,Open,Closed,Closed,Closed
339,11.30073663624511,72.69131615337773,Open,Closed,Closed,Closed,Closed
340,11.334072142546718,72.10452671648827,Open,Closed,Closed,Closed,Closed
341,11.367407648848326,72.79629689970639,Open,Closed,Closed,Closed,Closed
342,11.400743155149934,72.83395466503418,Open,Closed,Closed,Closed,Closed
343,11.434078661451542,69.22368853411442,Open,Closed,Closed,Closed,Closed
344,11.46741416775315,70.55006264370697,Open,Closed,Closed,Closed,Closed
345,11.500749674054758,73.96289734823499,Open,Open,Closed,Closed,Closed
346,11.534085180356366,75.20991370285498,Open,Open,Closed,Closed,Closed
347,11.567420686657975,72.82086761848142,Open,Closed,Closed,Closed,Closed
348,11.600756192959585,71.99538137798679,Open,Closed,Closed,Closed,Closed
349,11.634091699261193,69.93878953547059,Open,Closed,Closed,Closed,Closed
350,11.6674272055628,64.94865124903748,Closed,Closed,Closed,Closed,Closed
351,11.700762711864408,70.12722217531302,Open,Closed,Closed,Closed,Closed
352,11.734098218166016,71.03894134508627,Open,Closed,Closed,Closed,Closed
353,11.767433724467622,75.7995029103275,Open,Open,Closed,Closed,Closed
354,11.80076923076923,78.53527230376952,Open,Open,Closed,Closed,Closed
355,11.834104737070838,77.61387249861673,Open,Open,Closed,Closed,Closed
356,11.867440243372446,77.34330892232892,Open,Open,Closed,Closed,Closed
357,11.900775749674054,69.68101754610501,Open,Closed,Closed,Closed,Closed
