frame,timestamp,anchor_to_nose,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
362,12.067453281182097,120.33754821649532,Open,Open,Closed,Closed,Closed
363,12.100788787483705,133.91849483541563,Open,Open,Open,Closed,Closed
364,12.13412429378531,135.22530069922897,Open,Open,Open,Closed,Closed
365,12.16745980008692,135.44897521717797,Open,Open,Open,Closed,Closed
366,12.200795306388526,134.2123843782387,Open,Open,Open,Closed,Closed
367,12.234130812690134,121.54129530091332,Open,Open,Closed,Closed,Closed
368,12.267466318991742,130.0930563290023,Open,Open,Open,Closed,Closed
369,12.30080182529335,125.98089867822571,Open,Open,Closed,Closed,Closed
370,12.334137331594958,131.96519858372363,Open,Open,Open,Closed,Closed
371,12.367472837896566,134.46115774149848,Open,Open,Open,Closed,Closed
372,12.400808344198174,134.05184685214329,Open,Open,Open,Closed,Closed
373,12.43414385049978,134.51846934011817,Open,Open,Open,Closed,Closed
374,12.467479356801393,131.61960404499172,Open,Open,Open,Closed,Closed
375,12.500814863103,130.96692118773012,Open,Open,Open,Closed,Closed
376,12.534150369404609,126.01089005524074,Open,Open,Closed,Closed,Closed
377,12.567485875706216,130.31598866905748,Open,Open,Open,Closed,Closed
378,12.600821382007824,128.53141208706427,Open,Open,Open,Closed,Closed
